start_timestamp,end_timestamp,window_size,accuracy,time_s,ellapsed_m,skipped
2020-02-01 00:00:00,2020-02-01 12:00:00,12,30,2.79,0.0,False
2020-02-01 12:00:00,2020-02-02 00:00:00,12,30,2.75,0.1,False
2020-02-02 00:00:00,2020-02-02 12:00:00,12,30,2.72,0.1,False
2020-02-02 12:00:00,2020-02-03 00:00:00,12,30,2.64,0.2,False
2020-02-03 00:00:00,2020-02-03 12:00:00,12,30,2.79,0.2,False
2020-02-03 12:00:00,2020-02-04 00:00:00,12,30,3.06,0.3,False
2020-02-04 00:00:00,2020-02-04 12:00:00,12,30,2.49,0.3,False
2020-02-04 12:00:00,2020-02-05 00:00:00,12,30,2.74,0.4,False
2020-02-05 00:00:00,2020-02-05 12:00:00,12,30,2.76,0.4,False
2020-02-05 12:00:00,2020-02-06 00:00:00,12,30,2.73,0.5,False
2020-02-06 00:00:00,2020-02-06 12:00:00,12,30,3.4,0.5,False
2020-02-06 12:00:00,2020-02-07 00:00:00,12,30,2.81,0.6,False
2020-02-07 00:00:00,2020-02-07 12:00:00,12,30,3.34,0.6,False
2020-02-07 12:00:00,2020-02-08 00:00:00,12,30,3.07,0.7,False
2020-02-08 00:00:00,2020-02-08 12:00:00,12,30,3.05,0.7,False
2020-02-08 12:00:00,2020-02-09 00:00:00,12,30,3.22,0.8,False
2020-02-09 00:00:00,2020-02-09 12:00:00,12,30,2.5,0.8,False
2020-02-09 12:00:00,2020-02-10 00:00:00,12,30,2.88,0.9,False
2020-02-10 00:00:00,2020-02-10 12:00:00,12,30,3.09,0.9,False
2020-02-10 12:00:00,2020-02-11 00:00:00,12,30,8.64,1.1,False
2020-02-11 00:00:00,2020-02-11 12:00:00,12,30,2.87,1.1,False
2020-02-11 12:00:00,2020-02-12 00:00:00,12,30,3.03,1.2,False
2020-02-12 00:00:00,2020-02-12 12:00:00,12,30,2.44,1.2,False
2020-02-12 12:00:00,2020-02-13 00:00:00,12,30,2.76,1.2,False
2020-02-13 00:00:00,2020-02-13 12:00:00,12,30,2.74,1.3,False
2020-02-13 12:00:00,2020-02-14 00:00:00,12,30,3.47,1.3,False
2020-02-14 00:00:00,2020-02-14 12:00:00,12,30,3.3,1.4,False
2020-02-14 12:00:00,2020-02-15 00:00:00,12,30,2.45,1.4,False
2020-02-15 00:00:00,2020-02-15 12:00:00,12,30,7.94,1.6,False
2020-02-15 12:00:00,2020-02-16 00:00:00,12,30,2.77,1.6,False
2020-02-16 00:00:00,2020-02-16 12:00:00,12,30,2.56,1.7,False
2020-02-16 12:00:00,2020-02-17 00:00:00,12,30,6.02,1.8,False
2020-02-17 00:00:00,2020-02-17 12:00:00,12,30,3.02,1.8,False
2020-02-17 12:00:00,2020-02-18 00:00:00,12,30,2.49,1.9,False
2020-02-18 00:00:00,2020-02-18 12:00:00,12,30,2.72,1.9,False
2020-02-18 12:00:00,2020-02-19 00:00:00,12,30,3.17,2.0,False
2020-02-19 00:00:00,2020-02-19 12:00:00,12,30,3.09,2.0,False
2020-02-19 12:00:00,2020-02-20 00:00:00,12,30,3.78,2.1,False
