start_timestamp,end_timestamp,window_size,accuracy,time_s,ellapsed_m,skipped
2020-07-15 00:00:00,2020-07-15 12:00:00,12,30,6.12,0.1,False
2020-07-15 12:00:00,2020-07-16 00:00:00,12,30,8.66,0.2,False
2020-07-16 00:00:00,2020-07-16 12:00:00,12,30,3.98,0.3,False
2020-07-16 12:00:00,2020-07-17 00:00:00,12,30,3.15,0.4,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.15,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.74,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.27,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,7.14,0.1,False
2020-07-20 21:00:00,2020-07-21 00:00:00,12,30,7.24,0.1,False
2020-07-21 00:00:00,2020-07-21 12:00:00,12,30,7.54,0.1,False
2020-07-21 12:00:00,2020-07-22 00:00:00,12,30,11.77,0.3,False
2020-07-22 00:00:00,2020-07-22 12:00:00,12,30,8.92,0.1,False
2020-07-22 12:00:00,2020-07-23 00:00:00,12,30,8.55,0.3,False
2020-07-23 00:00:00,2020-07-23 12:00:00,12,30,9.01,0.2,False
2020-07-23 12:00:00,2020-07-24 00:00:00,12,30,10.52,0.3,False
2020-07-24 00:00:00,2020-07-24 12:00:00,12,30,6.22,0.1,False
2020-07-24 12:00:00,2020-07-25 00:00:00,12,30,8.09,0.2,False
2020-07-25 00:00:00,2020-07-25 12:00:00,12,30,8.73,0.1,False
2020-07-25 12:00:00,2020-07-26 00:00:00,12,30,12.59,0.4,False
2020-07-26 00:00:00,2020-07-26 12:00:00,12,30,11.79,0.6,False
2020-07-26 12:00:00,2020-07-27 00:00:00,12,30,8.84,0.7,False
2020-07-27 00:00:00,2020-07-27 12:00:00,12,30,10.47,0.2,False
2020-07-27 12:00:00,2020-07-28 00:00:00,12,30,5.97,0.3,False
2020-07-28 00:00:00,2020-07-28 12:00:00,12,30,6.95,0.1,False
2020-07-28 12:00:00,2020-07-29 00:00:00,12,30,14.02,0.3,False
2020-07-29 00:00:00,2020-07-29 01:00:00,1,30,4.37,6.1,False
2020-07-29 01:00:00,2020-07-29 03:00:00,2,30,25.35,6.5,False
2020-07-29 03:00:00,2020-07-29 06:00:00,3,30,90.63,8.0,False
2020-07-29 06:00:00,2020-07-29 08:00:00,2,30,19.42,8.3,False
2020-07-29 08:00:00,2020-07-29 11:00:00,3,30,19.21,8.7,False
2020-07-29 11:00:00,2020-07-29 12:00:00,1,30,21.59,14.6,False
2020-07-29 12:00:00,2020-07-29 13:00:00,1,30,40.84,18.4,False
2020-07-29 13:00:00,2020-07-29 14:00:00,1,28,32.16,18.9,False
2020-07-29 14:00:00,2020-07-29 15:00:00,1,26,25.61,19.4,False
2020-07-29 15:00:00,2020-07-29 16:00:00,1,28,23.98,19.8,False
2020-07-29 16:00:00,2020-07-29 17:00:00,1,30,35.41,20.4,False
2020-07-29 17:00:00,2020-07-29 18:00:00,1,28,30.4,20.9,False
2020-07-29 18:00:00,2020-07-29 19:00:00,1,26,3.62,20.9,False
2020-07-29 19:00:00,2020-07-29 20:00:00,1,28,3.33,21.0,False
2020-07-29 20:00:00,2020-07-29 21:00:00,1,30,3.93,21.0,False
2020-07-29 21:00:00,2020-07-29 23:00:00,2,30,15.53,21.3,False
2020-07-29 23:00:00,2020-07-30 00:00:00,1,30,25.94,27.0,False
2020-07-30 00:00:00,2020-07-30 01:00:00,1,28,83.81,34.4,False
2020-07-30 01:00:00,2020-07-30 02:00:00,1,26,78.29,35.7,False
2020-07-30 02:00:00,2020-07-30 03:00:00,1,24,46.4,36.4,False
2020-07-30 03:00:00,2020-07-30 04:00:00,1,22,23.19,36.8,False
2020-07-30 04:00:00,2020-07-30 05:00:00,1,24,21.76,37.2,False
2020-07-30 05:00:00,2020-07-30 06:00:00,1,26,19.22,37.5,False
2020-07-30 06:00:00,2020-07-30 07:00:00,1,28,14.23,37.8,False
2020-07-30 07:00:00,2020-07-30 08:00:00,1,30,10.31,37.9,False
2020-07-30 08:00:00,2020-07-30 10:00:00,2,30,12.47,38.1,False
2020-07-30 10:00:00,2020-07-30 13:00:00,3,30,37.65,38.8,False
2020-07-30 13:00:00,2020-07-30 15:00:00,2,30,102.25,40.5,False
2020-07-30 15:00:00,2020-07-30 16:00:00,1,30,43.94,41.2,False
2020-07-30 16:00:00,2020-07-30 17:00:00,1,28,40.81,41.9,False
2020-07-30 17:00:00,2020-07-30 18:00:00,1,26,30.57,42.4,False
2020-07-30 18:00:00,2020-07-30 19:00:00,1,24,28.96,42.9,False
2020-07-30 19:00:00,2020-07-30 20:00:00,1,26,6.02,43.0,False
2020-07-30 20:00:00,2020-07-30 21:00:00,1,28,3.25,43.0,False
2020-07-30 21:00:00,2020-07-30 22:00:00,1,30,4.43,43.1,False
2020-07-30 22:00:00,2020-07-31 00:00:00,2,30,3.48,43.2,False
2020-07-31 00:00:00,2020-07-31 03:00:00,3,30,4.09,43.2,False
2020-07-31 03:00:00,2020-07-31 07:00:00,4,30,3.38,43.3,False
2020-07-31 07:00:00,2020-07-31 12:00:00,5,30,3.85,43.3,False
2020-07-31 12:00:00,2020-07-31 18:00:00,6,30,8.13,43.5,False
2020-07-31 18:00:00,2020-08-01 01:00:00,7,30,12.38,43.7,False
2020-08-01 01:00:00,2020-08-01 09:00:00,8,30,6.94,43.8,False
2020-08-01 09:00:00,2020-08-01 18:00:00,9,30,5.58,43.9,False
2020-08-01 18:00:00,2020-08-02 04:00:00,10,30,7.34,44.0,False
2020-08-02 04:00:00,2020-08-02 15:00:00,11,30,4.23,44.1,False
2020-08-02 15:00:00,2020-08-03 00:00:00,12,30,5.63,44.2,False
2020-08-03 00:00:00,2020-08-03 01:00:00,1,26,90.24,36.1,False
2020-08-03 01:00:00,2020-08-03 02:00:00,1,24,60.2,37.1,False
2020-08-03 02:00:00,2020-08-03 03:00:00,1,22,35.84,37.7,False
2020-08-03 03:00:00,2020-08-03 04:00:00,1,20,20.51,38.1,False
2020-08-03 04:00:00,2020-08-03 05:00:00,1,22,19.32,38.4,False
2020-08-03 05:00:00,2020-08-03 06:00:00,1,24,18.45,38.7,False
2020-08-03 06:00:00,2020-08-03 07:00:00,1,26,13.36,38.9,False
2020-08-03 07:00:00,2020-08-03 08:00:00,1,28,9.4,39.1,False
2020-08-03 08:00:00,2020-08-03 09:00:00,1,30,7.42,39.2,False
2020-08-03 09:00:00,2020-08-03 11:00:00,2,30,8.59,39.4,False
2020-08-03 11:00:00,2020-08-03 14:00:00,3,30,33.0,39.9,False
2020-08-03 14:00:00,2020-08-03 16:00:00,2,30,53.98,40.8,False
2020-08-03 16:00:00,2020-08-03 17:00:00,1,30,27.19,41.3,False
2020-08-03 17:00:00,2020-08-03 19:00:00,2,30,60.4,42.3,False
2020-08-03 19:00:00,2020-08-03 20:00:00,1,30,4.15,42.3,False
