start_timestamp,end_timestamp,window_size,accuracy,time_s,ellapsed_m,skipped
2020-07-15 00:00:00,2020-07-15 12:00:00,12,30,3.06,0.1,False
2020-07-15 12:00:00,2020-07-16 00:00:00,12,30,3.02,0.1,False
2020-07-16 00:00:00,2020-07-16 12:00:00,12,30,2.57,0.1,False
2020-07-16 12:00:00,2020-07-17 00:00:00,12,30,3.04,0.2,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.18,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.2,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.79,0.0,False
