start_timestamp,end_timestamp,window_size,accuracy,time_s,ellapsed_m,skipped
2020-07-15 00:00:00,2020-07-15 12:00:00,12,30,3.69,0.1,False
2020-07-15 12:00:00,2020-07-16 00:00:00,12,30,3.45,0.1,False
2020-07-16 00:00:00,2020-07-16 12:00:00,12,30,3.48,0.2,False
2020-07-16 12:00:00,2020-07-17 00:00:00,12,30,2.48,0.2,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,3.81,0.1,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.51,0.0,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,3.69,0.1,False
2020-07-16 21:00:00,2020-07-17 00:00:00,12,30,2.9,0.0,False
2020-07-20 20:00:00,2020-07-21 00:00:00,12,30,2.93,0.0,False
2020-07-21 00:00:00,2020-07-21 12:00:00,12,30,4.09,0.1,False
2020-07-21 12:00:00,2020-07-22 00:00:00,12,30,3.54,0.1,False
2020-07-22 00:00:00,2020-07-22 12:00:00,12,30,5.1,0.1,False
2020-07-22 12:00:00,2020-07-23 00:00:00,12,30,5.12,0.2,False
2020-07-23 00:00:00,2020-07-23 12:00:00,12,30,7.67,0.1,False
2020-07-23 12:00:00,2020-07-24 00:00:00,12,30,5.51,0.2,False
2020-07-24 00:00:00,2020-07-24 12:00:00,12,30,3.32,0.1,False
2020-07-24 12:00:00,2020-07-25 00:00:00,12,30,3.55,0.1,False
2020-07-25 00:00:00,2020-07-25 12:00:00,12,30,3.83,0.1,False
2020-07-25 12:00:00,2020-07-26 00:00:00,12,30,3.49,0.1,False
2020-07-26 00:00:00,2020-07-26 12:00:00,12,30,3.73,0.2,False
2020-07-26 12:00:00,2020-07-27 00:00:00,12,30,3.15,0.2,False
2020-07-27 00:00:00,2020-07-27 12:00:00,12,30,3.74,0.1,False
2020-07-27 12:00:00,2020-07-28 00:00:00,12,30,3.47,0.1,False
2020-07-28 00:00:00,2020-07-28 12:00:00,12,30,5.17,0.1,False
2020-07-28 12:00:00,2020-07-29 00:00:00,12,30,12.52,0.3,False
2020-07-29 00:00:00,2020-07-29 12:00:00,12,30,6.2,0.4,False
2020-07-29 12:00:00,2020-07-30 00:00:00,12,30,17.93,0.7,False
2020-07-30 00:00:00,2020-07-30 12:00:00,12,30,10.69,0.9,False
2020-07-30 12:00:00,2020-07-31 00:00:00,12,30,10.67,1.1,False
2020-07-31 00:00:00,2020-07-31 12:00:00,12,30,3.71,1.1,False
2020-07-31 12:00:00,2020-08-01 00:00:00,12,30,4.86,1.2,False
2020-08-01 00:00:00,2020-08-01 12:00:00,12,30,3.37,1.3,False
2020-08-01 12:00:00,2020-08-02 00:00:00,12,30,4.09,1.3,False
2020-08-02 00:00:00,2020-08-02 12:00:00,12,30,4.84,1.4,False
2020-08-02 12:00:00,2020-08-03 00:00:00,12,30,4.04,1.5,False
2020-08-03 00:00:00,2020-08-03 12:00:00,12,30,15.58,0.3,False
2020-08-03 12:00:00,2020-08-04 00:00:00,12,30,10.39,0.4,False
2020-08-04 00:00:00,2020-08-04 12:00:00,12,30,3.83,0.5,False
2020-08-04 12:00:00,2020-08-05 00:00:00,12,30,4.36,0.6,False
2020-08-05 00:00:00,2020-08-05 12:00:00,12,30,3.88,0.6,False
2020-08-05 12:00:00,2020-08-06 00:00:00,12,30,4.11,0.7,False
2020-08-06 00:00:00,2020-08-06 12:00:00,12,30,3.81,0.8,False
2020-08-06 12:00:00,2020-08-07 00:00:00,12,30,3.8,0.8,False
2020-08-07 00:00:00,2020-08-07 12:00:00,12,30,24.5,0.4,False
2020-08-07 12:00:00,2020-08-08 00:00:00,12,30,19.75,0.7,False
2020-08-08 00:00:00,2020-08-08 12:00:00,12,30,11.93,0.9,False
2020-08-08 12:00:00,2020-08-09 00:00:00,12,30,4.08,1.0,False
2020-08-09 00:00:00,2020-08-09 12:00:00,12,30,3.18,1.1,False
2020-08-09 12:00:00,2020-08-10 00:00:00,12,30,3.4,1.1,False
2020-08-10 00:00:00,2020-08-10 12:00:00,12,30,2.63,1.2,False
2020-08-10 12:00:00,2020-08-11 00:00:00,12,30,3.43,1.2,False
2020-02-01 00:00:00,2020-02-01 12:00:00,12,30,3.98,0.1,False
2020-02-01 12:00:00,2020-02-02 00:00:00,12,30,5.33,0.2,False
2020-02-02 00:00:00,2020-02-02 12:00:00,12,30,3.11,0.2,False
2020-02-02 12:00:00,2020-02-03 00:00:00,12,30,3.08,0.3,False
2020-02-03 00:00:00,2020-02-03 12:00:00,12,30,3.72,0.3,False
2020-02-03 12:00:00,2020-02-04 00:00:00,12,30,4.28,0.4,False
2020-02-04 00:00:00,2020-02-04 12:00:00,12,30,4.12,0.5,False
2020-02-04 12:00:00,2020-02-05 00:00:00,12,30,5.59,0.6,False
2020-02-05 00:00:00,2020-02-05 12:00:00,12,30,4.36,0.6,False
2020-02-05 12:00:00,2020-02-06 00:00:00,12,30,17.58,0.9,False
2020-02-06 00:00:00,2020-02-06 12:00:00,12,30,4.04,1.0,False
2020-02-06 12:00:00,2020-02-07 00:00:00,12,30,3.95,1.1,False
2020-02-07 00:00:00,2020-02-07 12:00:00,12,30,5.4,1.1,False
2020-02-07 12:00:00,2020-02-08 00:00:00,12,30,5.99,1.2,False
2020-02-08 00:00:00,2020-02-08 12:00:00,12,30,4.62,1.3,False
2020-02-08 12:00:00,2020-02-09 00:00:00,12,30,5.02,1.4,False
2020-02-09 00:00:00,2020-02-09 12:00:00,12,30,3.97,1.5,False
2020-02-09 12:00:00,2020-02-10 00:00:00,12,30,4.61,1.5,False
2020-02-10 00:00:00,2020-02-10 12:00:00,12,30,4.36,1.6,False
2020-02-10 12:00:00,2020-02-11 00:00:00,12,30,3.8,1.7,False
2020-02-11 00:00:00,2020-02-11 12:00:00,12,30,3.92,1.7,False
2020-02-11 12:00:00,2020-02-12 00:00:00,12,30,3.76,1.8,False
2020-02-12 00:00:00,2020-02-12 12:00:00,12,30,3.47,1.9,False
2020-02-12 12:00:00,2020-02-13 00:00:00,12,30,3.37,1.9,False
2020-02-13 00:00:00,2020-02-13 12:00:00,12,30,4.31,2.0,False
2020-02-13 12:00:00,2020-02-14 00:00:00,12,30,4.31,2.1,False
