lat,lon,total,geometry,type
3.7544084904223127,-76.32610513755544,15214,POINT (-76.32610513755544 3.754408490422313),top_pagerank
3.5439687157979214,-76.26525131544832,13993,POINT (-76.26525131544832 3.543968715797921),top_pagerank
3.5384589016249546,-76.27615836603353,9869,POINT (-76.27615836603353 3.538458901624955),top_pagerank
3.6057695937441845,-76.3819759705899,9842,POINT (-76.38197597058991 3.605769593744184),top_pagerank
3.612126525773792,-76.38192684814561,7916,POINT (-76.38192684814561 3.612126525773792),top_pagerank
3.4593048736878105,-76.46385356988687,5404,POINT (-76.46385356988687 3.45930487368781),top_pagerank
3.4604182519423206,-76.46314826163618,4226,POINT (-76.46314826163618 3.460418251942321),top_pagerank
3.625195633227406,-76.3866656723447,3536,POINT (-76.38666567234471 3.625195633227406),top_pagerank
3.615283401288106,-76.39209402728233,3470,POINT (-76.39209402728233 3.615283401288106),top_pagerank
3.616071985518415,-76.41872642795983,3114,POINT (-76.41872642795983 3.616071985518415),top_pagerank
3.5971022356079336,-76.37440605457864,2853,POINT (-76.37440605457864 3.597102235607934),top_pagerank
3.459053420064932,-76.46215130974792,2758,POINT (-76.46215130974792 3.459053420064932),top_pagerank
3.472989315116833,-76.48228519806692,1,POINT (-76.48228519806692 3.472989315116833),top_contacts
3.495567120417211,-76.49286190271212,1,POINT (-76.49286190271212 3.495567120417211),top_contacts
3.534343553658649,-76.31650943276497,1,POINT (-76.31650943276497 3.534343553658649),top_contacts
3.4979326418046988,-76.49228023968715,1,POINT (-76.49228023968715 3.497932641804699),top_contacts
3.584269345495989,-76.25874937020028,1,POINT (-76.25874937020028 3.584269345495989),top_contacts
3.5711032485199437,-76.47601297810635,1,POINT (-76.47601297810635 3.571103248519944),top_contacts
3.482458490573961,-76.51367708618868,1,POINT (-76.51367708618868 3.482458490573961),top_contacts
3.4141962460868234,-76.51316017620027,1,POINT (-76.51316017620027 3.414196246086823),top_contacts
3.414659678778768,-76.51324644639256,1,POINT (-76.51324644639256 3.414659678778768),top_contacts
3.538381425821326,-76.27909199971853,1,POINT (-76.27909199971853 3.538381425821326),top_contacts
3.516449415746095,-76.2995274212583,1,POINT (-76.2995274212583 3.516449415746095),top_contacts
3.542484411185753,-76.3044548442228,1,POINT (-76.3044548442228 3.542484411185753),top_contacts
3.5846723473699003,-76.25519356719595,1,POINT (-76.25519356719595 3.5846723473699),top_contacts
3.5387404088943772,-76.31531854257526,1,POINT (-76.31531854257526 3.538740408894377),top_contacts
3.477711476982126,-76.49716928064176,1,POINT (-76.49716928064176 3.477711476982126),top_contacts
3.5317207067146774,-76.29418235342906,1,POINT (-76.29418235342906 3.531720706714677),top_contacts
3.530813329848611,-76.29641962613563,1,POINT (-76.29641962613563 3.530813329848611),top_contacts
3.5304598311333297,-76.29759134076897,1,POINT (-76.29759134076897 3.53045983113333),top_contacts
3.508587399109334,-76.30241021341102,1,POINT (-76.30241021341102 3.508587399109334),top_contacts
3.4447896883857116,-76.481955395511,10,POINT (-76.48195539551099 3.444789688385712),top_contacts
3.4587928721751475,-76.46449146057726,3,POINT (-76.46449146057726 3.458792872175148),top_contacts
3.446542867807812,-76.4824543010882,1,POINT (-76.4824543010882 3.446542867807812),top_contacts
3.4575826360521313,-76.46436264706712,1,POINT (-76.46436264706712 3.457582636052131),top_contacts
3.553848043851594,-76.31058786367635,1,POINT (-76.31058786367635 3.553848043851594),top_contacts
3.570280906656472,-76.47798270416607,1,POINT (-76.47798270416607 3.570280906656472),top_contacts
3.5718290094455583,-76.47824628586609,2,POINT (-76.47824628586609 3.571829009445558),top_contacts
3.45441934856656,-76.48313654349316,1,POINT (-76.48313654349316 3.45441934856656),top_contacts
3.571564729369932,-76.48000391945631,1,POINT (-76.48000391945631 3.571564729369932),top_contacts
3.459184855399058,-76.46291358326438,2,POINT (-76.46291358326438 3.459184855399058),top_contacts
3.550382095936836,-76.3100361918938,5,POINT (-76.3100361918938 3.550382095936836),top_contacts
3.7546138896724215,-76.32706896512417,1,POINT (-76.32706896512417 3.754613889672421),top_contacts
3.7538315623089717,-76.3272277851865,1,POINT (-76.32722778518649 3.753831562308972),top_contacts
3.458154351152143,-76.46192499597443,5,POINT (-76.46192499597443 3.458154351152143),top_contacts
3.4863136146700495,-76.48373980523641,1,POINT (-76.48373980523641 3.48631361467005),top_contacts
3.5530271262732493,-76.30887531450975,6,POINT (-76.30887531450975 3.553027126273249),top_contacts
3.7542226185135195,-76.32686327352391,1,POINT (-76.32686327352391 3.754222618513519),top_contacts
3.460512139535401,-76.46417136901002,4,POINT (-76.46417136901002 3.460512139535401),top_contacts
3.5512300457889237,-76.30588365887927,1,POINT (-76.30588365887927 3.551230045788924),top_contacts
3.552450373779507,-76.30666473434471,7,POINT (-76.30666473434471 3.552450373779507),top_contacts
3.755426528576674,-76.32687530039159,1,POINT (-76.32687530039159 3.755426528576674),top_contacts
3.7550587405475895,-76.32832008342264,1,POINT (-76.32832008342264 3.755058740547589),top_contacts
3.755288396384069,-76.3270381189194,1,POINT (-76.3270381189194 3.755288396384069),top_contacts
3.755390853589261,-76.3276501064362,1,POINT (-76.3276501064362 3.755390853589261),top_contacts
3.7554580079804545,-76.32721412338631,1,POINT (-76.32721412338631 3.755458007980454),top_contacts
3.7544770581781695,-76.32757984347202,1,POINT (-76.32757984347202 3.754477058178169),top_contacts
3.7552239269491987,-76.32696975344575,1,POINT (-76.32696975344575 3.755223926949199),top_contacts
3.75421220668952,-76.32464417215307,1,POINT (-76.32464417215307 3.75421220668952),top_contacts
