id1,id2,lat,lon,impact,date,hour
61f74b7c-f895-48e8-b237-c073c2b74128,d8bddc14-e5de-4fc1-8193-3e5de426ba07,3.5281092666666667,-76.29253505555556,0.010504285599330362,2020-11-01,6
48958f8c-fc78-4a2d-bde1-c309b8f40c31,61f74b7c-f895-48e8-b237-c073c2b74128,3.5060684,-76.2973992,0.00558195781833673,2020-11-01,6
61f74b7c-f895-48e8-b237-c073c2b74128,67eb9ad4-d161-4407-99ce-aa49350d954b,3.5320216,-76.2954651,0.00558195781833673,2020-11-01,6
17d30047-7cb0-483e-a57c-1f62e8750927,61f74b7c-f895-48e8-b237-c073c2b74128,3.5158189,-76.2913462,0.0055819578183367285,2020-11-01,6
7a0dac93-c7f9-4647-986c-fb7b036ebe08,f56fdb02-84b5-474d-a056-829d6045965d,3.4764665,-76.4863696,0.004391321219868517,2020-11-01,6
7a0dac93-c7f9-4647-986c-fb7b036ebe08,9c3add06-4e81-40fb-8d0a-e03fdbe749fc,3.4764665,-76.4863617,0.004391321219868517,2020-11-01,6
038dc283-372e-4ae2-8759-90e1e03c8dd3,e38f3461-1dc0-48e4-8118-acdcdabdf6ef,3.4529786,-76.4747667,0.004391321219868517,2020-11-01,6
038dc283-372e-4ae2-8759-90e1e03c8dd3,a82d351d-32a5-425e-b81d-adf537a1308f,3.4529786,-76.4747667,0.004391321219868517,2020-11-01,6
3ba564d8-06fc-4c08-a0e1-7ad72d202f2a,c3e518b2-5a37-444c-aa8a-379ef1bd024c,3.4445689,-76.5158044,0.003906249999999999,2020-11-01,6
98b9c7ff-7db4-4e86-b2e0-948126f009dc,fe90358d-c267-4116-9ee5-38b4c474c85f,3.4762643,-76.48431740000001,0.003906249999999999,2020-11-01,6
72da83df-ff3f-4c6a-9b22-015dce6fc150,d8bddc14-e5de-4fc1-8193-3e5de426ba07,3.5370049,-76.2905155,0.0030377101475315285,2020-11-01,6
038dc283-372e-4ae2-8759-90e1e03c8dd3,a82d351d-32a5-425e-b81d-adf537a1308f,3.4529701,-76.4747645,0.0038898900771153658,2020-11-01,7
a82d351d-32a5-425e-b81d-adf537a1308f,e38f3461-1dc0-48e4-8118-acdcdabdf6ef,3.4529854,-76.474762,0.0038898900771153658,2020-11-01,7
61f74b7c-f895-48e8-b237-c073c2b74128,80780b30-2bf0-4862-939b-33393e895147,3.5392155,-76.29563155,0.003889890077115364,2020-11-01,7
61f74b7c-f895-48e8-b237-c073c2b74128,d8bddc14-e5de-4fc1-8193-3e5de426ba07,3.5472832875,-76.29546485,0.003889890077115364,2020-11-01,7
7a0dac93-c7f9-4647-986c-fb7b036ebe08,9c3add06-4e81-40fb-8d0a-e03fdbe749fc,3.4764665,-76.4863696,0.0034602076124567475,2020-11-01,7
