method,percentage,value,change
pagerank,0.15000000000000002,2.000000000000003,-14.636548903290711
pagerank,0.2,1.7320508075688774,-26.073082795539264
pagerank,0.25,1.7320508075688783,-26.07308279553923
pagerank,0.30000000000000004,1.4142135623730958,-39.63892486403069
pagerank,0.35000000000000003,1.4142135623730967,-39.638924864030656
pagerank,0.4,1.4142135623730951,-39.63892486403073
pagerank,0.45,1.4142135623730987,-39.63892486403057
pagerank,0.5,1.4142135623730991,-39.63892486403056
pagerank,0.55,1.0000000000000004,-57.31827445164541
random,0.0,1.999999999999998,-1.8873791418627644e-13
random,0.05,2.0000000000000027,4.4408920985006224e-14
random,0.1,2.0,-8.881784197001245e-14
random,0.15000000000000002,2.0,-8.881784197001245e-14
random,0.2,1.6180339887498931,-19.098300562505415
random,0.25,1.6180339887498942,-19.098300562505358
random,0.30000000000000004,1.4142135623730963,-29.289321881345252
random,0.35000000000000003,1.4142135623730954,-29.289321881345295
random,0.4,1.4142135623730963,-29.289321881345252
random,0.45,1.414213562373097,-29.289321881345217
random,0.5,1.4142135623730967,-29.289321881345227
random,0.55,1.0000000000000004,-50.00000000000002
eigenvector,0.0,1.9999999999999962,-2.775557561562889e-13
eigenvector,0.05,2.0000000000000013,-2.2204460492503112e-14
eigenvector,0.1,1.618033988749895,-19.098300562505326
eigenvector,0.15000000000000002,1.6180339887498951,-19.098300562505315
eigenvector,0.2,1.6180339887498933,-19.098300562505404
eigenvector,0.25,1.6180339887498965,-19.098300562505248
eigenvector,0.30000000000000004,1.6180339887498945,-19.098300562505347
eigenvector,0.35000000000000003,1.6180339887498962,-19.09830056250526
eigenvector,0.4,1.4142135623730954,-29.289321881345295
eigenvector,0.45,1.4142135623730971,-29.289321881345206
eigenvector,0.5,1.4142135623730945,-29.28932188134534
eigenvector,0.55,1.4142135623730936,-29.289321881345384
pagerank,0.0,1.9999999999999984,-1.6653345369377333e-13
pagerank,0.05,1.9999999999999993,-1.2212453270876712e-13
pagerank,0.1,1.9999999999999987,-1.554312234475218e-13
pagerank,0.15000000000000002,1.9999999999999982,-1.776356839400249e-13
pagerank,0.2,1.9999999999999991,-1.3322676295501866e-13
pagerank,0.25,1.9999999999999991,-1.3322676295501866e-13
pagerank,0.30000000000000004,1.9999999999999998,-9.9920072216264e-14
pagerank,0.35000000000000003,1.9999999999999996,-1.1102230246251555e-13
pagerank,0.4,1.9999999999999996,-1.1102230246251555e-13
pagerank,0.45,1.9999999999999993,-1.2212453270876712e-13
pagerank,0.5,2.0,-8.881784197001245e-14
pagerank,0.55,1.4142135623730936,-29.289321881345384
random,0.0,1.6180339887498956,-2.744622257244231e-14
random,0.05,1.6180339887498956,-2.744622257244231e-14
random,0.1,1.6180339887498962,1.3723111286221155e-14
random,0.15000000000000002,1.6180339887498965,2.744622257244231e-14
random,0.2,1.618033988749894,-1.2350800157599038e-13
random,0.25,1.6180339887498933,-1.6467733543465384e-13
random,0.30000000000000004,1.6180339887498951,-5.489244514488462e-14
random,0.35000000000000003,1.6180339887498938,-1.3723111286221155e-13
random,0.4,1.6180339887498958,-1.3723111286221155e-14
random,0.45,1.6180339887498958,-1.3723111286221155e-14
random,0.5,1.6180339887498962,1.3723111286221155e-14
random,0.55,1.414213562373098,-12.596795110235664
eigenvector,0.0,1.6180339887498938,-1.3723111286221155e-13
eigenvector,0.05,1.4142135623730965,-12.596795110235758
eigenvector,0.1,1.4142135623730954,-12.59679511023583
eigenvector,0.15000000000000002,1.4142135623730963,-12.596795110235774
eigenvector,0.2,1.414213562373096,-12.596795110235789
eigenvector,0.25,1.4142135623731042,-12.59679511023528
eigenvector,0.30000000000000004,1.4142135623730994,-12.59679511023558
eigenvector,0.35000000000000003,1.4142135623730951,-12.596795110235842
eigenvector,0.4,1.4142135623730947,-12.596795110235869
eigenvector,0.45,1.4142135623730907,-12.596795110236117
eigenvector,0.5,1.4142135623730947,-12.596795110235869
eigenvector,0.55,1.4142135623730951,-12.596795110235842
pagerank,0.0,1.6180339887498965,2.744622257244231e-14
pagerank,0.05,1.4142135623730956,-12.596795110235817
pagerank,0.1,1.4142135623730958,-12.596795110235801
pagerank,0.15000000000000002,1.4142135623730963,-12.596795110235774
pagerank,0.2,1.4142135623730936,-12.59679511023594
pagerank,0.25,1.414213562373097,-12.596795110235734
pagerank,0.30000000000000004,1.4142135623730898,-12.596795110236172
pagerank,0.35000000000000003,1.4142135623730934,-12.596795110235952
pagerank,0.4,1.4142135623730983,-12.59679511023565
pagerank,0.45,1.0000000000000007,-38.19660112501052
pagerank,0.5,1.0000000000000004,-38.19660112501053
pagerank,0.55,1.0000000000000009,-38.1966011250105
random,0.0,1.4142135623730985,2.51214793389404e-13
random,0.05,1.4142135623730963,9.420554752102651e-14
random,0.1,1.4142135623730951,1.570092458683775e-14
random,0.15000000000000002,1.4142135623730945,-3.14018491736755e-14
random,0.2,1.4142135623730963,9.420554752102651e-14
random,0.25,1.4142135623730951,1.570092458683775e-14
random,0.30000000000000004,1.4142135623730945,-3.14018491736755e-14
random,0.35000000000000003,1.4142135623730951,1.570092458683775e-14
random,0.4,1.414213562373095,0.0
random,0.45,1.4142135623730951,1.570092458683775e-14
random,0.5,1.4142135623730947,-1.570092458683775e-14
random,0.55,1.414213562373095,0.0
eigenvector,0.0,1.4142135623730958,6.2803698347351e-14
eigenvector,0.05,1.414213562373095,0.0
eigenvector,0.1,1.4142135623730963,9.420554752102651e-14
eigenvector,0.15000000000000002,1.4142135623730947,-1.570092458683775e-14
eigenvector,0.2,1.414213562373098,2.1981294421572852e-13
eigenvector,0.25,1.4142135623730936,-9.420554752102651e-14
eigenvector,0.30000000000000004,1.4142135623730934,-1.0990647210786426e-13
eigenvector,0.35000000000000003,1.4142135623730938,-7.850462293418876e-14
eigenvector,0.4,1.4142135623730963,9.420554752102651e-14
eigenvector,0.45,1.0000000000000007,-29.289321881345195
eigenvector,0.5,1.0000000000000004,-29.28932188134521
eigenvector,0.55,1.0000000000000002,-29.289321881345224
pagerank,0.0,1.4142135623730974,1.7271017045521526e-13
pagerank,0.05,1.4142135623730951,1.570092458683775e-14
pagerank,0.1,1.4142135623730943,-4.7102773760513254e-14
pagerank,0.15000000000000002,1.4142135623730983,2.355138688025663e-13
pagerank,0.2,1.414213562373091,-2.826166425630795e-13
pagerank,0.25,1.0000000000000013,-29.28932188134515
pagerank,0.30000000000000004,1.0000000000000007,-29.289321881345195
pagerank,0.35000000000000003,1.0000000000000007,-29.289321881345195
pagerank,0.4,1.0000000000000013,-29.28932188134515
pagerank,0.45,1.0000000000000002,-29.289321881345224
pagerank,0.5,1.0,-29.289321881345245
pagerank,0.55,1.0000000000000009,-29.289321881345177
random,0.0,1.4142135623730936,-3.6112126549726734e-13
random,0.05,1.4142135623730927,-4.239249638446182e-13
random,0.1,1.4142135623730947,-2.8261664256307876e-13
random,0.15000000000000002,1.4142135623730923,-4.553268130182936e-13
random,0.2,1.4142135623730958,-2.0411201962889024e-13
random,0.25,1.0000000000000004,-29.289321881345398
random,0.30000000000000004,1.0,-29.289321881345433
random,0.35000000000000003,1.0000000000000004,-29.289321881345398
random,0.4,1.0000000000000004,-29.289321881345398
random,0.45,1.0000000000000002,-29.289321881345415
random,0.5,1.0000000000000007,-29.28932188134538
random,0.55,1.0000000000000004,-29.289321881345398
eigenvector,0.0,1.4142135623730991,3.140184917367542e-14
eigenvector,0.05,1.4142135623730936,-3.6112126549726734e-13
eigenvector,0.1,1.0000000000000002,-29.289321881345415
eigenvector,0.15000000000000002,1.0000000000000002,-29.289321881345415
eigenvector,0.2,1.0000000000000002,-29.289321881345415
eigenvector,0.25,1.0000000000000004,-29.289321881345398
eigenvector,0.30000000000000004,1.0,-29.289321881345433
eigenvector,0.35000000000000003,1.0000000000000007,-29.28932188134538
eigenvector,0.4,1.0000000000000007,-29.28932188134538
eigenvector,0.45,1.0000000000000004,-29.289321881345398
eigenvector,0.5,1.0,-29.289321881345433
eigenvector,0.55,1.0000000000000007,-29.28932188134538
pagerank,0.0,1.4142135623730963,-1.727101704552148e-13
pagerank,0.05,1.414213562373094,-3.297194163235919e-13
pagerank,0.1,1.0000000000000004,-29.289321881345398
pagerank,0.15000000000000002,1.0,-29.289321881345433
pagerank,0.2,1.0000000000000007,-29.28932188134538
pagerank,0.25,0.9999999999999999,-29.289321881345437
pagerank,0.30000000000000004,1.0000000000000007,-29.28932188134538
pagerank,0.35000000000000003,1.0000000000000002,-29.289321881345415
pagerank,0.4,1.0000000000000002,-29.289321881345415
pagerank,0.45,1.0,-29.289321881345433
pagerank,0.5,1.0000000000000004,-29.289321881345398
pagerank,0.55,1.0,-29.289321881345433
random,0.0,1.6180339887498931,-5.489244514488469e-14
random,0.05,1.6180339887498947,4.116933385866352e-14
random,0.1,1.618033988749895,5.489244514488469e-14
random,0.15000000000000002,1.6180339887498967,1.6467733543465407e-13
random,0.2,1.618033988749894,0.0
random,0.25,1.6180339887498936,-2.7446222572442344e-14
random,0.30000000000000004,1.4142135623730956,-12.596795110235707
random,0.35000000000000003,1.4142135623730945,-12.596795110235774
random,0.4,1.414213562373097,-12.596795110235625
random,0.45,1.4142135623730983,-12.596795110235542
random,0.5,1.0000000000000013,-38.1966011250104
random,0.55,1.0,-38.19660112501048
eigenvector,0.0,1.6180339887498953,8.233866771732704e-14
eigenvector,0.05,1.6180339887498967,1.6467733543465407e-13
eigenvector,0.1,1.414213562373092,-12.596795110235927
eigenvector,0.15000000000000002,1.4142135623730951,-12.596795110235735
eigenvector,0.2,1.4142135623730916,-12.596795110235956
eigenvector,0.25,1.414213562373096,-12.59679511023568
eigenvector,0.30000000000000004,1.4142135623730971,-12.596795110235613
eigenvector,0.35000000000000003,1.4142135623730945,-12.596795110235774
eigenvector,0.4,1.414213562373097,-12.596795110235625
eigenvector,0.45,1.414213562373097,-12.596795110235625
eigenvector,0.5,1.4142135623730925,-12.5967951102359
eigenvector,0.55,1.414213562373095,-12.596795110235748
pagerank,0.0,1.6180339887498942,1.3723111286221172e-14
pagerank,0.05,1.6180339887498956,9.60617790035482e-14
pagerank,0.1,1.4142135623730971,-12.596795110235613
pagerank,0.15000000000000002,1.0000000000000002,-38.19660112501047
pagerank,0.2,1.000000000000001,-38.19660112501042
pagerank,0.25,1.0000000000000013,-38.1966011250104
pagerank,0.30000000000000004,1.0000000000000004,-38.19660112501045
pagerank,0.35000000000000003,1.0000000000000007,-38.19660112501044
pagerank,0.4,1.0000000000000007,-38.19660112501044
pagerank,0.45,1.0000000000000007,-38.19660112501044
pagerank,0.5,1.0000000000000002,-38.19660112501047
pagerank,0.55,1.0000000000000002,-38.19660112501047
random,0.0,1.7320508075688763,-1.2819751242557084e-13
random,0.05,1.7320508075688767,-1.0255800994045666e-13
random,0.1,1.7320508075688772,-7.69185074553425e-14
random,0.15000000000000002,1.618033988749893,-6.582764103728609
random,0.2,1.618033988749894,-6.582764103728545
random,0.25,1.6180339887498956,-6.582764103728454
random,0.30000000000000004,1.6180339887498953,-6.582764103728468
random,0.35000000000000003,1.6180339887498953,-6.582764103728468
random,0.4,1.6180339887498956,-6.582764103728454
random,0.45,1.6180339887498951,-6.582764103728481
random,0.5,1.6180339887498947,-6.582764103728506
random,0.55,1.6180339887498956,-6.582764103728454
eigenvector,0.0,1.7320508075688785,0.0
eigenvector,0.05,1.4142135623730934,-18.350341907227552
eigenvector,0.1,1.414213562373095,-18.350341907227463
eigenvector,0.15000000000000002,1.0000000000000007,-42.264973081037425
eigenvector,0.2,1.0000000000000007,-42.264973081037425
eigenvector,0.25,1.0000000000000007,-42.264973081037425
eigenvector,0.30000000000000004,1.0000000000000009,-42.26497308103742
eigenvector,0.35000000000000003,1.0000000000000009,-42.26497308103742
eigenvector,0.4,1.0000000000000007,-42.264973081037425
eigenvector,0.45,1.0000000000000004,-42.26497308103744
eigenvector,0.5,1.0000000000000004,-42.26497308103744
eigenvector,0.55,1.0000000000000004,-42.26497308103744
pagerank,0.0,1.7320508075688774,-6.409875621278542e-14
pagerank,0.05,1.414213562373097,-18.350341907227346
pagerank,0.1,1.414213562373094,-18.350341907227513
pagerank,0.15000000000000002,1.0000000000000002,-42.264973081037446
pagerank,0.2,1.000000000000002,-42.26497308103735
pagerank,0.25,1.0000000000000004,-42.26497308103744
pagerank,0.30000000000000004,1.0000000000000009,-42.26497308103742
pagerank,0.35000000000000003,1.0000000000000007,-42.264973081037425
pagerank,0.4,1.0,-42.26497308103747
pagerank,0.45,1.0000000000000007,-42.264973081037425
pagerank,0.5,1.0000000000000002,-42.264973081037446
pagerank,0.55,1.0000000000000004,-42.26497308103744
