method,percentage,value,change
eigenvector,0.1,106.48644416381572,-13.33732177490951
eigenvector,0.15000000000000002,106.48644416385353,-13.337321774878735
eigenvector,0.2,106.4864441638019,-13.33732177492075
eigenvector,0.25,106.4864441638293,-13.337321774898452
eigenvector,0.30000000000000004,106.48644416371855,-13.337321774988594
eigenvector,0.35000000000000003,106.48611884872318,-13.337586528582221
eigenvector,0.4,106.47034206846247,-13.350426266465274
eigenvector,0.45,83.23912815261599,-32.25686296999607
eigenvector,0.5,37.10125405417087,-69.80560232720677
eigenvector,0.55,26.515398192551174,-78.42077045941932
pagerank,0.0,122.87462878439233,-1.1586146297665316e-10
pagerank,0.05,111.2962704454383,-9.42290402309128
pagerank,0.1,98.27015339797221,-20.02404860136535
pagerank,0.15000000000000002,89.59511303917111,-27.084123121723096
pagerank,0.2,81.3922739857324,-33.759902438072196
pagerank,0.25,72.73483469418659,-40.80565254709345
pagerank,0.30000000000000004,63.02945955465028,-48.70425231137437
pagerank,0.35000000000000003,57.19461847282683,-53.45286570662219
pagerank,0.4,49.400123308439795,-59.79631938903776
pagerank,0.45,43.0087093932862,-64.99789271493663
pagerank,0.5,39.00888825194333,-68.25309778119704
pagerank,0.55,35.449780951268735,-71.14963332794171
random,0.0,485.8598039152474,-4.984009016503675e-12
random,0.05,461.6425878644785,-4.984404113211294
random,0.1,437.6052509310281,-9.931785382406034
random,0.15000000000000002,413.2820777012444,-14.937997675289052
random,0.2,388.7311275099023,-19.991091179526236
random,0.25,364.5369269063635,-24.970758237507024
random,0.30000000000000004,340.5197181031634,-29.913996721048743
random,0.35000000000000003,316.3500943767639,-34.888605349222985
random,0.4,292.0803086239482,-39.88382939476845
random,0.45,268.0985686117227,-44.81976766728453
random,0.5,243.69227359065593,-49.84308814458892
random,0.55,219.3886009492297,-54.845286812924215
eigenvector,0.0,485.8598039152987,5.56898660060035e-12
eigenvector,0.05,373.2163474020109,-23.184353923813063
eigenvector,0.1,344.2308471828707,-29.150169573834386
eigenvector,0.15000000000000002,344.23084715068364,-29.150169580459153
eigenvector,0.2,344.23084714151116,-29.150169582347036
eigenvector,0.25,344.2308471352131,-29.150169583643315
eigenvector,0.30000000000000004,344.2308471265498,-29.150169585426397
eigenvector,0.35000000000000003,344.2308471166702,-29.150169587459825
eigenvector,0.4,344.2308471060272,-29.150169589650364
eigenvector,0.45,344.23084709144615,-29.15016959265145
eigenvector,0.5,344.2308470807823,-29.15016959484629
eigenvector,0.55,344.2308470576898,-29.150169599599206
pagerank,0.0,485.85980391522116,-1.0389201893556957e-11
pagerank,0.05,397.3982875816894,-18.20721031472876
pagerank,0.1,344.5125530220197,-29.09218868369306
pagerank,0.15000000000000002,304.0112780566318,-37.428189035854494
pagerank,0.2,270.60025794582344,-44.30486824281248
pagerank,0.25,242.38940290570443,-50.11124588771819
pagerank,0.30000000000000004,217.3712080314449,-55.26050801491042
pagerank,0.35000000000000003,194.7613663775209,-59.914081220951346
pagerank,0.4,174.41244898364874,-64.10230943614667
pagerank,0.45,156.25643218111293,-67.83919333891588
pagerank,0.5,139.40694125085142,-71.30716718537958
pagerank,0.55,123.71638079364226,-74.53660916242066
random,0.0,778.414626901585,2.5354142055417432e-11
random,0.05,739.7353251927891,-4.968984442464571
random,0.1,700.8371848271256,-9.966082264290476
random,0.15000000000000002,661.8185396736807,-14.978660883061465
random,0.2,622.9952218674495,-19.966146532036753
random,0.25,584.1052190347593,-24.962198955601608
random,0.30000000000000004,545.6626761108888,-29.900767887290062
random,0.35000000000000003,506.9119540178302,-34.87892743797996
random,0.4,467.9800256877104,-39.880365872544715
random,0.45,429.4301546740116,-44.83272284034132
random,0.5,390.66839537297164,-49.812300299636725
random,0.55,351.42257808613726,-54.85406286813561
eigenvector,0.0,778.4146269012828,-1.3480341657344637e-11
eigenvector,0.05,609.3206800914963,-21.722863492814707
eigenvector,0.1,510.2379201147611,-34.45165308033198
eigenvector,0.15000000000000002,452.2139546893025,-41.905773727631846
eigenvector,0.2,452.2136296698106,-41.90581548166378
eigenvector,0.25,452.2135751900861,-41.905822480469126
eigenvector,0.30000000000000004,452.2135486995981,-41.9058258836025
eigenvector,0.35000000000000003,452.21351757193776,-41.905829882455976
eigenvector,0.4,452.21348297645824,-41.90583432680714
eigenvector,0.45,452.213454403573,-41.90583799745826
eigenvector,0.5,452.2134305574818,-41.90584106087593
eigenvector,0.55,452.21339206949807,-41.90584600528247
pagerank,0.0,778.4146268999942,-1.790125110444997e-10
pagerank,0.05,645.2343536012871,-17.1091689052976
pagerank,0.1,563.4996454589593,-27.609319508541883
pagerank,0.15000000000000002,500.10278250094825,-35.75367609782813
pagerank,0.2,446.54075561183276,-42.63458827985229
pagerank,0.25,400.1158988532766,-48.598615053521506
pagerank,0.30000000000000004,358.9956259171821,-53.88118189065569
pagerank,0.35000000000000003,322.0749874658619,-58.62423747766195
pagerank,0.4,288.13916914933975,-62.98384444594433
pagerank,0.45,256.87545065862963,-67.00017679765779
pagerank,0.5,227.86377505465248,-70.72719766820119
pagerank,0.55,201.05446104609484,-74.17128942625007
random,0.0,1075.9474270604876,1.0411940869365464e-10
random,0.05,1021.8619249652816,-5.0267792583421
random,0.1,967.9849065011314,-10.034181767905183
random,0.15000000000000002,914.1947530609079,-15.03351092539342
random,0.2,860.544134513957,-20.01987152235878
random,0.25,806.949578420978,-25.00102159950115
random,0.30000000000000004,753.3132048723238,-29.9860582471788
random,0.35000000000000003,699.586656582897,-34.979475856463374
random,0.4,645.6535493354486,-39.992091332932425
random,0.45,591.9655418944487,-44.98192690396331
random,0.5,538.486601452846,-49.952331507073346
random,0.55,484.44366441695274,-54.975154711697385
eigenvector,0.0,1075.947427060019,6.056550138340049e-11
eigenvector,0.05,852.281012302204,-20.787857206783595
eigenvector,0.1,852.2775311667012,-20.788180748196048
eigenvector,0.15000000000000002,852.2770779996214,-20.788222866153525
eigenvector,0.2,852.2768844970407,-20.788240850543456
eigenvector,0.25,852.2767270580233,-20.788255483137334
eigenvector,0.30000000000000004,852.2765007321091,-20.788276518172
eigenvector,0.35000000000000003,852.2762766751349,-20.788297342328324
eigenvector,0.4,852.2760971138854,-20.788314030992193
eigenvector,0.45,852.2758494546722,-20.78833704877233
eigenvector,0.5,852.2751848258614,-20.788398820267304
eigenvector,0.55,717.8325431223185,-33.28367863807245
pagerank,0.0,1075.9474270602814,8.495230829074318e-11
pagerank,0.05,895.7607099129582,-16.746795671873194
pagerank,0.1,783.4596752625223,-27.184204770695224
pagerank,0.15000000000000002,695.2124759214664,-35.38601808626224
pagerank,0.2,620.9670362091631,-42.28648904284241
