method,percentage,value,change
eigenvector,0.55,7.791027554100693,-45.72022935852243
pagerank,0.0,14.353464397558772,4.467665793162694e-12
pagerank,0.05,13.139792068009244,-8.455605531409974
pagerank,0.1,12.949774496205874,-9.779450190373957
pagerank,0.15000000000000002,11.475148768050415,-20.053107387770343
pagerank,0.2,11.475148768049404,-20.053107387777388
pagerank,0.25,10.883884682984867,-24.172420110391766
pagerank,0.30000000000000004,10.462317053536033,-27.109464560235896
pagerank,0.35000000000000003,9.660157929067822,-32.69807440556827
pagerank,0.4,8.408846998965606,-41.415906529185015
pagerank,0.45,7.017072494505856,-51.11234263625144
pagerank,0.5,6.072104467076983,-57.6958962735854
pagerank,0.55,5.6496368789012426,-60.63921069910912
random,0.0,3.6704583314598174,-2.5891886605374843e-12
random,0.05,3.540212080691653,-3.548501004681194
random,0.1,3.5373480776080126,-3.626529491180891
random,0.15000000000000002,3.498524550884217,-4.68425915919087
random,0.2,3.4707114567373973,-5.442014502942645
random,0.25,3.3384917462911012,-9.04428153627268
random,0.30000000000000004,3.1536036381417207,-14.081475571815426
random,0.35000000000000003,3.1449014420290666,-14.318563023212615
random,0.4,3.109633203124472,-15.27943046045626
random,0.45,3.0782451388652348,-16.134584270273592
random,0.5,3.049764084475222,-16.910537892901548
random,0.55,2.8631586636030413,-21.994519347554352
eigenvector,0.0,3.6704583314600594,4.004773115130408e-12
eigenvector,0.05,3.555844993329993,-3.122589273049516
eigenvector,0.1,3.5558449933301914,-3.122589273044108
eigenvector,0.15000000000000002,3.16424793846009,-13.7914763576264
eigenvector,0.2,2.5615528128088028,-30.211636218467742
eigenvector,0.25,2.5615528128087277,-30.211636218469785
eigenvector,0.30000000000000004,2.5615528128089498,-30.211636218463738
eigenvector,0.35000000000000003,2.561552812808621,-30.21163621847269
eigenvector,0.4,2.5615528128087894,-30.211636218468104
eigenvector,0.45,2.561552812808612,-30.211636218472947
eigenvector,0.5,2.5615528128087344,-30.211636218469604
eigenvector,0.55,2.5615528128087734,-30.211636218468538
pagerank,0.0,3.670458331459732,-4.912199047561769e-12
pagerank,0.05,3.1642479384599733,-13.791476357629584
pagerank,0.1,3.164247938460182,-13.791476357623896
pagerank,0.15000000000000002,2.7092753594368313,-26.187001328544543
pagerank,0.2,2.561552812809051,-30.211636218460978
pagerank,0.25,2.000000000000036,-45.51089211780964
pagerank,0.30000000000000004,2.0000000000000444,-45.510892117809405
pagerank,0.35000000000000003,1.9999999999999991,-45.51089211781064
pagerank,0.4,2.0000000000000004,-45.510892117810606
pagerank,0.45,2.000000000000108,-45.51089211780768
pagerank,0.5,2.000000000000051,-45.51089211780923
pagerank,0.55,2.0000000000000013,-45.510892117810585
random,0.0,19.063158731228786,8.908267315032356e-12
random,0.05,17.976736249457655,-5.699068538886889
random,0.1,17.18979604566728,-9.827136792870952
random,0.15000000000000002,16.390507693233815,-14.0199799816766
random,0.2,15.739226991417068,-17.436416423292613
random,0.25,14.413255251549417,-24.39209338408713
random,0.30000000000000004,13.733313222368523,-27.958879134378822
random,0.35000000000000003,12.667104705124842,-33.55191086787186
random,0.4,12.153464905915506,-36.246321623461654
random,0.45,11.382557894092537,-40.29028423580751
random,0.5,10.19500830913502,-46.51983727946029
random,0.55,9.495414116009322,-50.189712786396626
eigenvector,0.0,19.063158731226842,-1.2859214325046707e-12
eigenvector,0.05,11.998338302438354,-37.0600724066571
eigenvector,0.1,11.998338302437805,-37.060072406659984
eigenvector,0.15000000000000002,9.383331178554654,-50.77766853410314
eigenvector,0.2,8.282070892421059,-56.55457204553243
eigenvector,0.25,7.984163719641501,-58.117309769011385
eigenvector,0.30000000000000004,6.417809667502904,-66.33396512095354
eigenvector,0.35000000000000003,6.37129163383259,-66.57798571757225
eigenvector,0.4,5.533596344952682,-70.97230095509735
eigenvector,0.45,4.70811276953944,-75.30255695858447
eigenvector,0.5,4.42787887237063,-76.77258562025513
eigenvector,0.55,3.999999999999969,-79.01711853530536
pagerank,0.0,19.063158731226707,-1.994110047507243e-12
pagerank,0.05,16.705833276577117,-12.365870147157036
pagerank,0.1,14.319557169746655,-24.883607320071285
pagerank,0.15000000000000002,12.364395573236166,-35.139838326047055
pagerank,0.2,11.170778869247215,-41.40121777956702
pagerank,0.25,9.552099494372268,-49.89235714265385
pagerank,0.30000000000000004,8.419560943757608,-55.83333768309003
pagerank,0.35000000000000003,7.513299632872353,-60.58733109867608
pagerank,0.4,6.569988002130763,-65.53568013170576
pagerank,0.45,6.246344323086169,-67.23342437025337
pagerank,0.5,5.852623509651491,-69.29877365987416
pagerank,0.55,4.939367306070751,-74.08946032653212
random,0.0,19.063239413986278,-6.541398731760123e-12
random,0.05,18.06270221748492,-5.248516135030378
random,0.1,16.75589397862562,-12.103637714736495
random,0.15000000000000002,15.69192350075344,-17.68490569740421
random,0.2,14.773222538117906,-22.504133650662997
random,0.25,14.035041799784883,-26.37640699467497
random,0.30000000000000004,12.977985680275864,-31.921404340369588
random,0.35000000000000003,11.747215738501776,-38.37765196463758
random,0.4,10.52084559142672,-44.81081959392945
random,0.45,9.562005532017904,-49.84060513344942
random,0.5,8.825292813336285,-53.70517768947084
random,0.55,8.30445123181072,-56.43735541758247
eigenvector,0.0,19.06323941398681,-3.745929188272891e-12
eigenvector,0.05,11.998338302438025,-37.060338791977166
eigenvector,0.1,11.998338302438306,-37.06033879197569
eigenvector,0.15000000000000002,11.803924854458582,-38.08017305916259
eigenvector,0.2,11.43405777840288,-40.02038410107143
eigenvector,0.25,11.292786147705995,-40.761452434888966
eigenvector,0.30000000000000004,11.157955099981029,-41.46873541443353
eigenvector,0.35000000000000003,9.932740552156213,-47.89584111885973
eigenvector,0.4,9.93274055215596,-47.89584111886105
eigenvector,0.45,9.390816341649499,-50.73861195511687
eigenvector,0.5,7.822741920574015,-58.96425706727405
eigenvector,0.55,7.822741920574307,-58.96425706727251
pagerank,0.0,19.06323941398799,2.441376734645516e-12
pagerank,0.05,16.454288072107502,-13.685771264907482
pagerank,0.1,14.267752518114992,-25.15567680671248
pagerank,0.15000000000000002,12.183312454278225,-36.09002022322187
pagerank,0.2,11.035439296281675,-42.11141634099976
pagerank,0.25,9.29796933078888,-51.22565934955127
pagerank,0.30000000000000004,8.226749382699982,-56.84495586482715
pagerank,0.35000000000000003,7.350544965216439,-61.44125976919208
pagerank,0.4,6.565239084621509,-65.56073738546078
pagerank,0.45,6.077991355707021,-68.11669190259796
pagerank,0.5,5.860354140645949,-69.25835104213215
pagerank,0.55,4.904405879942652,-74.272967078491
random,0.0,5.643111181606163,-3.2580065669659734e-12
random,0.05,5.417655087674987,-3.99524458540231
random,0.1,5.416572636994818,-4.014426392127955
